,Unnamed: 0,rates_code,rates_authority_id,rates_authority,region,location_code,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,geometry,highstreet
615,32075,00233003300005,E09000007,Camden,Inner London - West,831542000,BST & GND F PT 33,BRECKNOCK ROAD,LONDON,N7 0BT,Shops,249,Retail High Street,Retail,101.47,14500.0,2020-10-14 00:00:00+00:00,2017,2021-03,7235.5,,,True,2020-10-14,,True,5034105,15533959.0,I,,,CI01MG,,529719.0,185085.0,51.5497549,-0.1305034,2,5210,E,2007-12-21,2015-08-23,2002-10-08,BUMBLEBEE NATURAL FOODS,,,,,,33.0,,,,,,,33.0,,,,,,20400233,1,,,N,osgb1000002298837486,15.0,osgb4000000030250599,2,osgb1000005440295,3,,831542000.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BT,N7 0BT,S,1E,D,,E05000139,,2012-03-19,1,CS,249.0,,POINT (529720.7978599808 185085.3253831921),Brecknock
659,32119,00233003510012,E09000007,Camden,Inner London - West,7025410000,GND FLR FNT AT 35,BRECKNOCK ROAD,LONDON,N7 0BT,Shops,249,Retail High Street,Retail,36.48,9600.0,2017-04-01 00:00:00+00:00,2017,2021-03,4790.4,,,True,2017-04-01,,True,5011075,15533963.0,I,,,CR08,,529714.0,185091.0,51.5498099,-0.1305732,1,5210,E,2007-12-21,2015-08-23,2002-10-08,,,,,,,35.0,,,,,,,35.0,,,,,,20400233,1,,,N,osgb1000002298837484,15.0,osgb4000000031138531,1,osgb1000005440293,4,,7025410000.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BT,N7 0BT,S,1F,D,,E05000139,,2012-03-19,0,CS,249.0,,POINT (529715.8022515873 185091.3179303183),Brecknock
747,32207,00233004320007,E09000007,Camden,Inner London - West,873114000,LGND & PT GND FS 43-43A,BRECKNOCK ROAD,LONDON,N7 0BT,Shops,249,Retail High Street,Retail,91.9,20750.0,2017-04-01 00:00:00+00:00,2017,2021-03,10354.25,,,True,2017-04-01,,True,5142101,,I,,,CR08,,529704.0,185121.0,51.5500818,-0.1307063,2,5210,E,2007-12-21,2020-02-08,2007-01-10,,,,,,,,,,,,,,43.0,,43.0,A,,,20400233,1,,,N,,,osgb4000000030250599,2,osgb1000005440287,4,,873114000.0,BRECKNOCK ROAD,,,,,,,,,,,LONDON,CAMDEN,,,,N7 0BT,,,L,,E05000139,,,0,CS,249.0,,POINT (529705.8016118868 185121.3185135795),Brecknock
791,32251,00233004510026,E09000007,Camden,Inner London - West,98408063,GND F UNIT A AT 45,BRECKNOCK ROAD,LONDON,N7 0BT,Shops,249,Retail High Street,Retail,26.88,8700.0,2017-04-01 00:00:00+00:00,2017,2021-03,4341.3,INTERNI LIFESTYLE LIMITED,,True,2010-04-01,4018.0,True,5079868,,I,,,C,5032144.0,529703.0,185127.0,51.550136,-0.1307185,2,5210,E,2007-12-21,2015-08-23,2002-10-08,,,,,,,,,,,,UNIT A,,45.0,,,,,,20400233,1,,,N,,,osgb4000000030250599,2,osgb1000005440285,4,,98408063.0,BRECKNOCK ROAD,,,,,,,,,,,LONDON,CAMDEN,,,,N7 0BT,,,C,,E05000139,,,0,CS,249.0,,POINT (529704.8017506409 185127.3241648081),Brecknock
835,32295,0023300451003B,E09000007,Camden,Inner London - West,98410063,GND F UNIT B AT 45,BRECKNOCK ROAD,LONDON,N7 0BT,Offices (Inc Computer Centres),203,Office General,Office,26.13,7000.0,2017-04-01 00:00:00+00:00,2017,2021-03,3493.0,LEADENHALL FINANCIAL,510.15,True,2010-04-01,4018.0,True,5121867,28708529.0,I,,,CO01,5032144.0,529703.0,185127.0,51.550136,-0.1307185,2,5210,E,2007-12-21,2015-08-23,2002-10-08,LEADENHALL FINANCIAL MANAGEMENT LTD,,,,,45B,,,,,,UNIT B,,45.0,,,,,,20400233,1,,,N,osgb1000002298928994,9.0,osgb4000000030250599,2,osgb1000005440285,4,,98410063.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BT,N7 0BT,S,2R,D,,E05000139,,2012-03-19,0,CO,203.0,,POINT (529704.8017506409 185127.3241648081),Brecknock
879,32339,00233004900009,E09000007,Camden,Inner London - West,11977063,49,BRECKNOCK ROAD,LONDON,N7 0BT,Shops,249,Retail High Street,Retail,139.27,23500.0,2017-04-01 00:00:00+00:00,2017,2021-03,11726.5,,,True,2017-04-01,,True,5069627,15533969.0,I,,,CR,,529695.0,185144.0,51.5502906,-0.13082760000000002,1,5210,E,2007-12-21,2018-12-09,2002-10-08,BUYWISE SUPERMARKET,,,,,,49.0,,,,,,,49.0,,,,,,20400233,1,,,N,osgb1000002298837451,10.0,osgb4000000030250599,2,osgb1000005440281,3,,11977063.0,BRECKNOCK ROAD,,,BRECKNOCK ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,N7 0BT,N7 0BT,S,1Q,D,,E05000139,,2012-03-19,3,CS,249.0,,POINT (529696.7984864264 185144.3230369786),Brecknock
923,64764,00387000130089,E09000007,Camden,Inner London - West,109611063,GND F BLK F 1-2 APOLLO STUDIOS 1-7,CHARLTON KINGS ROAD,LONDON,NW5 2SB,Offices (Inc Computer Centres),203,Office General,Office,182.5,48500.0,2017-04-01 00:00:00+00:00,2017,2021-03,24201.5,OILFIELD PRODUCTION CONSULTANTS,12109.5,True,2010-04-01,4018.0,True,5016824,17717175.0,I,,,CO01,5104963.0,529588.0,185225.0,51.5510431,-0.13234010000000002,2,5210,E,2007-12-21,2019-07-14,2002-10-08,OILFIELD PRODUCTION CONSULTANTS LTD,,,,UNIT 1-2,APOLLO STUDIOS,,,,,,UNIT 1-2,,,,,,APOLLO STUDIOS,,20400387,1,,,N,osgb1000002298838292,8.0,osgb5000005151691294,0,osgb1000005440594,4,,109611063.0,CHARLTON KING'S ROAD,,,CHARLTON KINGS ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW5 2SB,NW5 2SB,S,1Z,D,,E05000139,,2012-03-19,1,CO,203.0,,POINT (529589.8001241181 185225.3256346171),Brecknock
967,64808,0038700013011B,E09000007,Camden,Inner London - West,109614063,GND F BLK B 5 APOLLO STUDIOS 1-7,CHARLTON KINGS ROAD,LONDON,NW5 2SB,Offices (Inc Computer Centres),203,Office General,Office,111.1,31000.0,2017-04-01 00:00:00+00:00,2017,2021-03,15469.0,OPC LTD,7234.46,True,2010-04-01,4018.0,True,5016899,17717171.0,I,,,CO01,5104963.0,529565.0,185226.0,51.5510574,-0.1326713,1,5210,E,2007-12-21,2019-07-14,2002-10-08,OILFIELD PRODUCTION CONSULTANTS LTD,,,,UNIT 5,APOLLO STUDIOS,,,,,,UNIT 5,,,,,,APOLLO STUDIOS,,20400387,1,,,N,osgb1000002298983764,6.0,osgb5000005151691294,0,osgb1000005440607,5,,109614063.0,CHARLTON KING'S ROAD,,,CHARLTON KINGS ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW5 2SB,NW5 2SB,S,1N,D,,E05000139,,2012-03-19,0,CO,203.0,,POINT (529566.797797312 185226.3296057421),Brecknock
1055,64896,0038700013020A,E09000007,Camden,Inner London - West,109623063,3RD F BLK B 14 APOLLO STUDIOS 1-7,CHARLTON KINGS ROAD,LONDON,NW5 2SB,Offices (Inc Computer Centres),203,Office General,Office,111.1,31000.0,2017-04-01 00:00:00+00:00,2017,2021-03,15469.0,THISCOMPANY LTD,4530.7,True,2016-10-10,1634.0,True,5124829,53352822.0,I,,,CR08,5104963.0,529565.0,185226.0,51.5510574,-0.1326713,1,5210,E,2007-12-21,2019-07-14,2002-10-08,THIS CO,,,,UNIT 14,APOLLO STUDIOS,,,,,,UNIT 14,,,,,,APOLLO STUDIOS,,20400387,1,,,N,osgb5000005118193573,4.0,osgb5000005151691294,0,osgb1000005440607,5,,109623063.0,CHARLTON KING'S ROAD,,,CHARLTON KINGS ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW5 2SB,NW5 2SB,S,3D,D,,E05000139,,2013-12-16,0,CO,203.0,,POINT (529566.797797312 185226.3296057421),Brecknock
1099,64940,00387000130214,E09000007,Camden,Inner London - West,109624063,3RD F BLK B 15 APOLLO STUDIOS 1-7,CHARLTON KINGS ROAD,LONDON,NW5 2SB,Offices (Inc Computer Centres),203,Office General,Office,92.3,24500.0,2017-04-01 00:00:00+00:00,2017,2021-03,12225.5,PAUL WHITE IT'S ME LTD,2372.34,True,2013-12-03,2676.0,True,5124830,52172940.0,I,,,CR08,5104963.0,529565.0,185226.0,51.5510574,-0.1326713,1,5210,E,2007-12-21,2019-07-14,2002-10-08,M E CO,,,,UNIT 15,APOLLO STUDIOS,,,,,,UNIT 15,,,,,,APOLLO STUDIOS,,20400387,1,,,N,osgb1000002298986960,9.0,osgb5000005151691294,0,osgb1000005440607,5,,109624063.0,CHARLTON KING'S ROAD,,,CHARLTON KINGS ROAD,,,,,,,,LONDON,CAMDEN,LONDON,,NW5 2SB,NW5 2SB,S,3A,D,,E05000139,,2012-03-19,0,CO,203.0,,POINT (529566.797797312 185226.3296057421),Brecknock
