,objectid,highstreet,area_ha,road_length,ATMs,Advertising Right,Amusement Arcades,Banks/Insurance/Building Society Offices & Other A2 Uses,Betting Offices,Bingo Halls (National Scheme),Cafes,Cafes/Restaurants Within/Part of Specialist Property,Car Parks (Multi-Storey),Car Parks (Surfaced Open),Car Showrooms,Car Spaces,Car Washes (Stand Alone),Cemeteries (National Scheme),Clubs & Institutions,Commercial Miscellaneous,Communication Stations (National Scheme),Community Day Centres,Concert Halls (National Scheme),Day Nurseries/Play Schools,Educational Miscellaneous,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",Fire Stations,Food Stores,Funeral Parlours/Chapels Of Rest,Garages (Transport and Commercial),Garden Centres,Gymnasia/Fitness Suites,Hairdressing/Beauty Salons,Hostels,Hotels (3 Star And Under),Hypermarkets/Superstores (over 2500m^2),Large Food Stores (750 - 2500m^2),Large Shops (Over 1850m^2),Libraries,Local Authority Schools (National Scheme),Markets (Other Than Livestock),Miscellaneous,Museums and Art Galleries (Contractors),Night Clubs & Discotheques,Nurseries/Creches Within/Part of Specialist Property,Offices (Inc Computer Centres),Petrol Filling Stations (National Scheme),Police Stations,Post Offices,Public Conveniences (National Scheme),Public Halls,Public Houses/Pub Restaurants (National Scheme),Public Telephone Kiosks (National Scheme),Public and Independent Schools (National Scheme),Recording Studios,Restaurants,Retail Warehouses and Foodstores,Sales Kiosks,Shops,Shops Within/Part of Specialist Property,Showrooms,Sports & Leisure Centres (Private)(Dry Only),Sports & Leisure Centres (Private)(Wet & Dry),Sports & Leisure Centres Within/Part of Specialist Property,Stores,Studios,"Surgeries, Clinics, Health Centres (Contractors Valuation)","Surgeries, Clinics, Health Centres (Rental Valuation)",Tennis Courts/Clubs,Vehicle Repair Workshops & Garages,Veterinary Clinics / Animal Clinics,"Village Halls, Scout Huts, Cadet Huts Etc",Wine Bars,bench,bicycle_rental,camera_surveillance,fountain,post_box,recycling,recycling_clothes,recycling_glass,recycling_paper,telephone,tourist_info,vending_parking,waste_basket,public toilets,trees,bus_stops,train,median_95Q4,median_18Q4,95-18_price_diff,count_95Q4,count_18Q4,95-18_tansc_diff,household_estimate_01_02,household_estimate_12_13,household_estimate_diff,All usual residents,Density (number of persons per hectare),Economically_active_total,Economically_inactive_total,Over_65s,crime,cultural_infra,GRP_CD,Average download speed (Mbit/s),Average data usage (GB),AvPTAI2015,2018_road_causaulties,averaege_yearly_causaulties(2010-2018),noise_pollution,NOxTotal10,PM10Tot10,total_buildings,total_floor_area,mean_floor_area,total_rental_valuation,mean_rental_valuation,total_rates_paid,mean_rates_paid,total_rates_expected,mean_rates_expected,cluster_label
count,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
mean,554.5,554.5,32.38235191,2168.4547144999997,0.0,10.0,0.0,86.5,1.5,0.0,13.0,5.0,4.0,0.0,1.0,8.0,0.0,0.0,3.0,17.5,6.5,2.0,0.0,1.0,0.0,60.0,0.5,0.0,0.0,8.0,0.0,64.5,10.0,0.5,4.5,2.0,0.0,0.0,0.5,3.0,2.0,0.0,0.0,0.0,1.0,645.0,0.5,0.0,1.5,0.0,1.0,3.0,0.0,6.0,17.5,162.5,1.5,0.0,4471.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,8.0,0.5,0.0,0.0,0.0,6.0,0.5,2.5,3.0,542.5,20129.0,2412.0,411.0,1671912.5,11784222.5,10112310.0,87.5,51.0,-36.5,670425.0,988350.0,317925.0,18730.5,1350.05,10907.0,3644.5,2361.5,6108.0,19.0,2.0,2117.1,7775.0,257.44694,59.0,67.0,62.5,3.5654275,0.3932495,5651.0,754833.5436,127.46873224999999,282843757.5,52603.681339999996,64108181.2,14593.50046,143279624.75,26672.22557,2.0
std,0.7071067811865476,0.7071067811865476,20.317479526772953,424.3791991309343,0.0,14.142135623730951,0.0,54.44722215136416,2.1213203435596424,0.0,9.899494936611665,7.0710678118654755,5.656854249492381,0.0,1.4142135623730951,0.0,0.0,0.0,4.242640687119285,24.748737341529164,2.1213203435596424,2.8284271247461903,0.0,1.4142135623730951,0.0,84.8528137423857,0.7071067811865476,0.0,0.0,11.313708498984761,0.0,30.405591591021544,5.656854249492381,0.7071067811865476,6.363961030678928,2.8284271247461903,0.0,0.0,0.7071067811865476,1.4142135623730951,2.8284271247461903,0.0,0.0,0.0,1.4142135623730951,261.6295090390226,0.7071067811865476,0.0,0.7071067811865476,0.0,1.4142135623730951,1.4142135623730951,0.0,2.8284271247461903,24.748737341529164,60.10407640085654,2.1213203435596424,0.0,1689.9852070358486,0.0,0.0,7.0710678118654755,0.0,0.0,2.8284271247461903,0.0,0.0,11.313708498984761,0.0,4.242640687119285,0.0,0.0,0.0,21.920310216782973,0.0,0.0,0.0,2.8284271247461903,0.7071067811865476,0.0,0.0,0.0,0.0,0.7071067811865476,3.5355339059327378,4.242640687119285,767.2108575874041,17565.946658236215,2945.806850423157,514.7737367038065,542757.4875692643,3225860.026645995,2683102.539076731,70.0035713374682,33.94112549695428,36.062445840513924,277108.0764791961,380338.59546462016,103230.51898542407,11049.957669602178,1105.985716453879,7071.067811865475,2209.7086912079612,637.1032098490793,4802.6692578190305,8.48528137423857,0.0,1148.7656767156652,5395.224740453357,245.74161162535577,60.81118318204309,46.66904755831214,3.5355339059327378,2.225985582204094,0.2527899671674095,2200.516303052536,457731.08816306404,31.363309955514705,41694986.22333521,13105.69318038426,133467.9464417436,5104.834271201406,20454019.159214314,6766.704658058832,0.0
min,554.0,554.0,18.01572436,1868.373305,0.0,0.0,0.0,48.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,120.0,0.0,0.0,3276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7708.0,329.0,47.0,1288125.0,9503195.0,8215070.0,38.0,27.0,-62.0,474480.0,719410.0,244930.0,10917.0,568.0,5907.0,2082.0,1911.0,2712.0,13.0,2.0,1304.8,3960.0,83.68138,16.0,34.0,60.0,1.9914180000000001,0.2145,4095.0,431168.7872,105.29152309999999,253360950.0,43336.55682,64013805.11,10983.837529999999,128816449.1,21887.44282,2.0
25%,554.25,554.25,25.199038135000002,2018.4140097499999,0.0,5.0,0.0,67.25,0.75,0.0,9.5,2.5,2.0,0.0,0.5,8.0,0.0,0.0,1.5,8.75,5.75,1.0,0.0,0.5,0.0,30.0,0.25,0.0,0.0,4.0,0.0,53.75,8.0,0.25,2.25,1.0,0.0,0.0,0.25,2.5,1.0,0.0,0.0,0.0,0.5,552.5,0.25,0.0,1.25,0.0,0.5,2.5,0.0,5.0,8.75,141.25,0.75,0.0,3873.5,0.0,0.0,2.5,0.0,0.0,1.0,0.0,0.0,12.0,0.0,1.5,0.0,0.0,0.0,12.75,0.0,0.0,0.0,7.0,0.25,0.0,0.0,0.0,6.0,0.25,1.25,1.5,271.25,13918.5,1370.5,229.0,1480018.75,10643708.75,9163690.0,62.75,39.0,-49.25,572452.5,853880.0,281427.5,14823.75,959.025,8407.0,2863.25,2136.25,4410.0,16.0,2.0,1710.9499999999998,5867.5,170.56416000000002,37.5,50.5,61.25,2.77842275,0.30387474999999997,4873.0,593001.1654,116.38012767499998,268102353.75,47970.11908,64060993.154999994,12788.668995,136048036.92499998,24279.834195,2.0
50%,554.5,554.5,32.38235191,2168.4547144999997,0.0,10.0,0.0,86.5,1.5,0.0,13.0,5.0,4.0,0.0,1.0,8.0,0.0,0.0,3.0,17.5,6.5,2.0,0.0,1.0,0.0,60.0,0.5,0.0,0.0,8.0,0.0,64.5,10.0,0.5,4.5,2.0,0.0,0.0,0.5,3.0,2.0,0.0,0.0,0.0,1.0,645.0,0.5,0.0,1.5,0.0,1.0,3.0,0.0,6.0,17.5,162.5,1.5,0.0,4471.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,8.0,0.5,0.0,0.0,0.0,6.0,0.5,2.5,3.0,542.5,20129.0,2412.0,411.0,1671912.5,11784222.5,10112310.0,87.5,51.0,-36.5,670425.0,988350.0,317925.0,18730.5,1350.05,10907.0,3644.5,2361.5,6108.0,19.0,2.0,2117.1,7775.0,257.44694,59.0,67.0,62.5,3.5654275,0.3932495,5651.0,754833.5436,127.46873224999999,282843757.5,52603.681339999996,64108181.2,14593.50046,143279624.75,26672.22557,2.0
75%,554.75,554.75,39.565665685000006,2318.49541925,0.0,15.0,0.0,105.75,2.25,0.0,16.5,7.5,6.0,0.0,1.5,8.0,0.0,0.0,4.5,26.25,7.25,3.0,0.0,1.5,0.0,90.0,0.75,0.0,0.0,12.0,0.0,75.25,12.0,0.75,6.75,3.0,0.0,0.0,0.75,3.5,3.0,0.0,0.0,0.0,1.5,737.5,0.75,0.0,1.75,0.0,1.5,3.5,0.0,7.0,26.25,183.75,2.25,0.0,5068.5,0.0,0.0,7.5,0.0,0.0,3.0,0.0,0.0,20.0,0.0,4.5,0.0,0.0,0.0,28.25,0.0,0.0,0.0,9.0,0.75,0.0,0.0,0.0,6.0,0.75,3.75,4.5,813.75,26339.5,3453.5,593.0,1863806.25,12924736.25,11060930.0,112.25,63.0,-23.75,768397.5,1122820.0,354422.5,22637.25,1741.0749999999998,13407.0,4425.75,2586.75,7806.0,22.0,2.0,2523.25,9682.5,344.32971999999995,80.5,83.5,63.75,4.35243225,0.4826242499999999,6429.0,916665.9218000001,138.557336825,297585161.25,57237.2436,64155369.245000005,16398.331925000002,150511212.57500002,29064.616944999998,2.0
max,555.0,555.0,46.74897946,2468.5361239999997,0.0,20.0,0.0,125.0,3.0,0.0,20.0,10.0,8.0,0.0,2.0,8.0,0.0,0.0,6.0,35.0,8.0,4.0,0.0,2.0,0.0,120.0,1.0,0.0,0.0,16.0,0.0,86.0,14.0,1.0,9.0,4.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,830.0,1.0,0.0,2.0,0.0,2.0,4.0,0.0,8.0,35.0,205.0,3.0,0.0,5666.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,24.0,0.0,6.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,6.0,1.0,5.0,6.0,1085.0,32550.0,4495.0,775.0,2055700.0,14065250.0,12009550.0,137.0,75.0,-11.0,866370.0,1257290.0,390920.0,26544.0,2132.1,15907.0,5207.0,2812.0,9504.0,25.0,2.0,2929.4,11590.0,431.2125,102.0,100.0,65.0,5.139437,0.5719989999999999,7207.0,1078498.3,149.6459414,312326565.0,61870.80586,64202557.29,18203.16339,157742800.4,31457.008319999997,2.0
