,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
10,84555,84555,5.28E+11,E09000007,Camden,Inner London - West,THE INDUSTRY BUILDING 23-25,HAMPSHIRE STREET,LONDON,NW5 2TE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,962.96,90500,2017-04-01 00:00:00+00:00,2017,2019-12,45612,INDUSTRY HOUSE DEVELOPMENTS LTD,0,FALSE,15/02/2018,685,TRUE,5087820,50956340,CO02,,529728,184965,51.5486744,-0.1304179,2,,,,23,,,,23,,25,,THE INDUSTRY BUILDING,20400528,,N,osgb1000002298947113,6,osgb4000000031228909,1,osgb1000005433929,14,6288345000,HAMPSHIRE STREET,,HAMPSHIRE STREET,LONDON,CAMDEN,LONDON,NW5 2TE,NW5 2TE,S,1F,D,E05000139,19/03/2012,0,IF3,96,POINT (529729.7967772977 184965.3207863403),15/02/2018 00:00,6288345000,01/01/2020,685,01/04/2010,2877 days,3562,1,685,2877,0,FALSE,TRUE,Brecknock
11,87112,87112,5.35023E+11,E09000007,Camden,Inner London - West,UNIT 1 GND FLR 225,CAMDEN ROAD,LONDON,NW1 9AA,Recording Studios,232,Office Serviced Office,Office,17.84,3550,2017-04-01 00:00:00+00:00,2017,2021-03,1771.45,NAMULAS PENSION TRUSTEES LIMITED,5.68E-14,FALSE,01/04/2019,731,TRUE,5164965,,CO01,5079631,529771,184967,51.5486825,-0.1297973,2,,,,,,,UNIT 1,225,A,,,,20400535,,N,,,osgb5000005151691287,0,osgb1000005433933,4,7999373000,CAMDEN ROAD,,,LONDON,CAMDEN,,,NW1 9AA,,,C,E05000139,,0,CX,232,POINT (529772.8014813206 184967.3214821434),01/04/2019 00:00,7999373000,01/04/2021,731,01/04/2010,3287 days,4018,0,731,3287,0,FALSE,FALSE,Brecknock
12,87156,87156,5.35023E+11,E09000007,Camden,Inner London - West,UNIT 2 GND FLR 225A,CAMDEN ROAD,LONDON,NW1 9AA,Recording Studios,232,Office Serviced Office,Office,32.6,6200,2017-04-01 00:00:00+00:00,2017,2021-03,3093.8,NAMULAS PENSION TRUSTEES LIMITED,0,FALSE,01/04/2019,731,TRUE,5164966,,CO01,5079631,529771,184967,51.5486825,-0.1297973,2,,,,,,,UNIT 2,225,A,,,,20400535,,N,,,osgb5000005151691287,0,osgb1000005433933,4,7999376000,CAMDEN ROAD,,,LONDON,CAMDEN,,,NW1 9AA,,,C,E05000139,,0,CX,232,POINT (529772.8014813206 184967.3214821434),01/04/2019 00:00,7999376000,01/04/2021,731,01/04/2010,3287 days,4018,0,731,3287,0,FALSE,FALSE,Brecknock
13,346109,346109,5.35023E+11,E09000007,Camden,Inner London - West,(EXCL. UNITS 1-2&3) GND FLR 225A,CAMDEN ROAD,LONDON,NW1 9AA,Recording Studios,232,Office Serviced Office,Office,46.85,9300,2017-04-01 00:00:00+00:00,2017,2021-03,4640.7,NAMULAS PENSION TRUSTEES LIMITED,-2.27E-13,FALSE,01/04/2019,731,TRUE,5164971,,CO01,5079631,529771,184967,51.5486825,-0.1297973,2,,,,,,,STUDIO AND PREMISES AT GROUND FLOOR,225,A,,,,20400535,,N,,,osgb5000005151691287,0,osgb1000005433933,4,8794669000,CAMDEN ROAD,,,LONDON,CAMDEN,,,NW1 9AA,,,C,E05000139,,0,CX,232,POINT (529772.8014813206 184967.3214821434),01/04/2019 00:00,8794669000,01/04/2021,731,01/04/2010,3287 days,4018,0,731,3287,0,FALSE,TRUE,Brecknock
14,364765,364765,2.33004E+11,E09000007,Camden,Inner London - West,P J DENTAL SURGERY AT 37,BRECKNOCK ROAD,LONDON,N7 0BT,"Surgeries, Clinics, Health Centres (Rental Valuation)",437,Other Public,,140.23,23000,2017-04-01 00:00:00+00:00,2017,2021-03,11477,GROUND GILBEY LTD,0,FALSE,12/02/2015,2240,TRUE,5066326,15533965,CM01,,529710,185095,51.5498468,-0.1306294,1,BRECKNOCK DENTAL,,,37,,,,37,,,,,20400233,,N,osgb1000002298837483,15,osgb4000000031138531,1,osgb1000005440291,4,9787634000,BRECKNOCK ROAD,,BRECKNOCK ROAD,LONDON,CAMDEN,LONDON,N7 0BT,N7 0BT,S,1G,D,E05000139,19/03/2012,0,MH,437,POINT (529711.8009925119 185095.3217838815),12/02/2015 00:00,9787634000,01/04/2021,2240,01/04/2010,1778 days,4018,0,2240,1778,0,FALSE,TRUE,Brecknock
15,392475,392475,5.36001E+11,E09000007,Camden,Inner London - West,8,CLIFF ROAD,LONDON,NW1 9AN,Offices (Inc Computer Centres),203,Office General,Office,31.79,6600,2016-07-09 00:00:00+00:00,2010,2016-09,3194.4,LYNDON GOODE ARCHITECTS LIMITED,0,FALSE,22/08/2016,40,TRUE,5189800,55376724,CO01,5087794,529846,184861,51.5477126,-0.1287554,1,LYNDON GOODE ARCHITECTS,,8 CLIFF ROAD STUDIOS,5,,,UNIT 8,5,,,,CLIFF ROAD STUDIOS,20400536,,N,,,osgb4000000030250609,0,osgb1000005434108,4,10992226000,CLIFF ROAD,,CLIFF ROAD,LONDON,CAMDEN,LONDON,NW1 9AN,NW1 9AN,S,2P,D,E05000131,31/08/2018,0,CO,203,POINT (529847.7981505134 184861.3120667603),22/08/2016 00:00,10992226000,01/10/2016,40,01/04/2010,2335 days,2375,1,40,2335,0,FALSE,FALSE,Brecknock
16,86200,86200,5.35008E+11,E09000007,Camden,Inner London - West,75A,CAMDEN ROAD,LONDON,NW1 9EU,Shops,249,Retail High Street,Retail,19.4,7700,2010-04-01 00:00:00+00:00,2010,2013-03,3465,LBC G26200623140,0,FALSE,28/09/2012,185,TRUE,5078163,17653585,C,,529224,184272,51.542562,-0.1379369,2,THE TWINS COFFEE SHOP,,75A,,,,,75,A,,,,20400535,,N,osgb1000002298833299,24,osgb4000000030355197,2,osgb1000005437148,5,15426063,CAMDEN ROAD,,CAMDEN ROAD,LONDON,CAMDEN,LONDON,NW1 9EU,NW1 9EU,S,2U,D,E05000131,19/03/2012,0,CS,249,POINT (529225.7882547408 184272.2985950735),28/09/2012 00:00,15426063,01/04/2013,185,01/04/2010,911 days,1096,1,185,911,0,FALSE,TRUE,Kentish
17,346073,346073,5.35013E+11,E09000007,Camden,Inner London - West,126,CAMDEN ROAD,LONDON,NW1 9EE,Shops,249,Retail High Street,Retail,42.2,14000,2017-04-01 00:00:00+00:00,2017,2020-03,6874,INGENIOUS PROPERTIES LIMITED,1166.71,FALSE,12/12/2014,1937,TRUE,5055818,55483897,C,,529244,184246,51.5423238,-0.1376582,2,LDN CBD,,,126,,,,126,,,,,20400535,,N,,,osgb4000000030355197,2,osgb1000005437199,5,15493063,CAMDEN ROAD,,CAMDEN ROAD,LONDON,CAMDEN,LONDON,NW1 9EE,NW1 9EE,S,2H,D,E05000131,16/11/2018,3,CS,249,POINT (529245.7881800467 184246.301719977),12/12/2014 00:00,15493063,01/04/2020,1937,01/04/2010,1716 days,3653,1,1937,1716,0,FALSE,TRUE,Kentish
18,112055,112055,0065200051999B,E09000007,Camden,Inner London - West,5,JEFFREYS PLACE,LONDON,NW1 9PP,Offices (Inc Computer Centres),203,Office General,Office,26,11500,2017-04-01 00:00:00+00:00,2017,2021-03,5738.5,MR M F GODDARD & MISS B BALLARD,4636.34,FALSE,01/10/2018,913,TRUE,5063389,17654506,C,,529070,184285,51.542714,-0.1401517,1,,,,5,,,,5,,,,,20400652,,N,osgb1000002298834415,9,osgb4000000030250507,2,osgb1000005437081,4,49462063,JEFFREY'S PLACE,,JEFFREYS PLACE,LONDON,CAMDEN,LONDON,NW1 9PP,NW1 9PP,S,1R,D,E05000130,19/03/2012,0,CO,203,POINT (529071.7801758501 184285.2947340261),01/10/2018 00:00,49462063,01/04/2021,913,01/04/2010,3105 days,4018,0,913,3105,0,FALSE,TRUE,Kentish
19,123844,123844,0074200631007B,E09000007,Camden,Inner London - West,UNIT 5 AT 63,PRATT STREET,LONDON,NW1 0DP,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,392.48,75000,2017-04-01 00:00:00+00:00,2017,2021-03,38400,CAMDEN PROPERTY HOLDINGS LTD,0,FALSE,30/09/2019,549,TRUE,5125802,53276080,CI03,5110235,529336,183958,51.5397145,-0.1364381,2,RUBRIC GLOBAL LTD,,UNIT 5,,,,UNIT 5,63,,,,ST PANCRAS COMMERCIAL CENTRE,20400742,,N,osgb5000005114839708,6,osgb4000000030250328,5,osgb1000005431875,3,95657063,PRATT STREET,ST. PANCRAS COMMERCIAL CENTRE,PRATT STREET,LONDON,CAMDEN,LONDON,NW1 0BY,NW1 0BY,S,1X,D,E05000143,22/10/2013,0,IF3,96,POINT (529337.7843255643 183958.291385453),30/09/2019 00:00,95657063,01/04/2021,549,01/04/2010,3469 days,4018,0,549,3469,0,FALSE,FALSE,Kentish
