,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-open,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
52262063,88611,88611,0055000710000A,E09000007,Camden,Inner London - West,71,KINGSGATE ROAD,LONDON,NW6 4JY,Shops,249,Retail High Street,Retail,50.6,8000.0,2010-04-01 00:00:00+00:00,2010,2010-12,3256.0,LBC - RK20NCE020,0.0,False,2010-09-08,115.0,True,5004969,17731884.0,C,,525249.0,184161.0,51.5424596,-0.19526629999999998,1,,,,71.0,,,,71.0,,,,,20400550,,N,osgb1000002298623346,10.0,osgb4000000030329706,6,osgb1000004203362,2,52262063.0,KINGSGATE ROAD,,KINGSGATE ROAD,LONDON,CAMDEN,LONDON,NW6 4JY,NW6 4JY,S,1B,D,E05000140,2012-03-19,0,CS,249.0,POINT (525250.7284697135 184161.2807810186),2010-09-08 00:00:00,52262063,2011-01-01,115,2010-04-01,160 days,275,1,115,160,0,False,False,Willesden
102815063,88860,88860,00550008510018,E09000007,Camden,Inner London - West,BST & GND F 85,KINGSGATE ROAD,LONDON,NW6 4JY,Shops,249,Retail High Street,Retail,54.2,6400.0,2017-04-01 00:00:00+00:00,2017,2018-03,2982.4,LBC - RK20NCE020,0.0,False,2010-04-01,2922.0,True,5035382,17731889.0,C,,525239.0,184209.0,51.5428932,-0.1953933,2,,,,85.0,,,,85.0,,,,,20400550,,N,osgb1000002298623023,9.0,osgb4000000030329712,5,osgb1000004203426,3,102815063.0,KINGSGATE ROAD,,KINGSGATE ROAD,LONDON,CAMDEN,LONDON,NW6 4JY,NW6 4JY,S,2Q,D,E05000140,2012-03-19,2,CS,249.0,POINT (525240.7325066183 184209.2820089038),2010-04-01 00:00:00,102815063,2018-04-01,2922,2010-04-01,0 days,2922,1,2922,0,0,False,False,Willesden
102821063,88523,88523,00550006800008,E09000007,Camden,Inner London - West,68,KINGSGATE ROAD,LONDON,NW6 4TE,Shops,249,Retail High Street,Retail,46.6,8000.0,2010-04-01 00:00:00+00:00,2010,2010-12,3256.0,LBC - RK20NCE020,0.0,False,2010-04-01,275.0,True,5110028,,C,,525220.0,184134.0,51.5422234,-0.1956938,2,,,,,,,,68.0,,,,,20400550,,N,,,osgb4000000030329706,6,osgb1000004203195,4,102821063.0,KINGSGATE ROAD,,,LONDON,CAMDEN,,,NW6 4TE,,,L,E05000140,,0,CS,249.0,POINT (525221.7323904844 184134.2829407637),2010-04-01 00:00:00,102821063,2011-01-01,275,2010-04-01,0 days,275,1,275,0,0,False,False,Willesden
102824063,2419,2419,00000164954001,E09000007,Camden,Inner London - West,GND F R 77A,KINGSGATE ROAD,LONDON,NW6 4JY,Shops,249,Retail High Street,Retail,30.77,5200.0,2017-04-01 00:00:00+00:00,2017,2021-03,2594.8,THE EXECUTORS OF MR AHMAD REZA AZIZI,-1.13686837721616e-13,False,2017-12-30,1188.0,True,5081140,17731885.0,C,,525246.0,184191.0,51.5427299,-0.1952988,2,,,77A,,,,,77.0,A,,,,20400550,,N,osgb1000002298623018,9.0,osgb4000000030223231,6,osgb1000004203423,2,102824063.0,KINGSGATE ROAD,,KINGSGATE ROAD,LONDON,CAMDEN,LONDON,NW6 4JY,NW6 4JY,S,2J,D,E05000140,2012-03-19,0,CS,249.0,POINT (525247.73330478 184191.2838877784),2017-12-30 00:00:00,102824063,2021-04-01,1188,2010-04-01,2830 days,4018,0,1188,2830,0,False,True,Willesden
109942063,88264,88264,00548005110019,E09000007,Camden,Inner London - West,51,HEMSTAL ROAD,LONDON,NW6 2AD,Shops,249,Retail High Street,Retail,68.05,6100.0,2010-04-01 00:00:00+00:00,2010,2012-03,2598.6,LBC H26405623140,35.7,False,2011-04-01,366.0,True,5020313,17726608.0,CO01,,525204.0,184381.0,51.5444467,-0.1958366,2,WESTFIELD DRY CLEANERS,,,51.0,,,,51.0,,,,,20400548,,N,osgb1000002298623705,10.0,osgb4000000030223233,5,osgb1000004203769,2,109942063.0,HEMSTAL ROAD,,HEMSTAL ROAD,LONDON,CAMDEN,LONDON,NW6 2AD,NW6 2AD,S,1N,D,E05000145,2012-03-19,1,CS5,249.0,POINT (525205.7326441569 184381.2807763244),2011-04-01 00:00:00,109942063,2012-04-01,366,2010-04-01,365 days,731,1,366,365,0,False,False,Willesden
1643682000,88388,88388,00548005710029,E09000007,Camden,Inner London - West,GND FL 57,HEMSTAL ROAD,LONDON,NW6 2AD,Shops,249,Retail High Street,Retail,22.95,5600.0,2017-04-01 00:00:00+00:00,2017,2021-03,2794.4,SAEID RAHMDEZ FOULI,0.0,False,2010-05-31,3958.0,True,5024525,53251920.0,CR08,,525189.0,184383.0,51.544468,-0.1960521,2,KABB1 LTD,,,57.0,,,,57.0,,,,,20400548,,N,osgb5000005113812226,6.0,osgb4000000030223233,5,osgb1000004203772,3,1643682000.0,HEMSTAL ROAD,,HEMSTAL ROAD,LONDON,CAMDEN,LONDON,NW6 2AD,NW6 2AD,S,2W,D,E05000145,2013-09-28,3,CS,249.0,POINT (525190.7315744562 184383.2809374104),2010-05-31 00:00:00,1643682000,2021-04-01,3958,2010-04-01,60 days,4018,0,3958,60,0,False,True,Willesden
