borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Camden,https://www.bl.uk/subjects/maps,"British Library, Map Library",5037737,E09000007,96 Euston Road,,,St. Pancras and Somers Town,E05000143,-0.1269883564324114,529796.6696318964,51.529986770365106,183000.6621090907,Camden,Archives,E09000007,09/05/2021
Camden,https://www.bl.uk/subjects/manuscripts-and-archives,"British Library, Manuscript Collections",5037737,E09000007,96 Euston Road,,,St. Pancras and Somers Town,E05000143,-0.1269883564324114,529796.6696318964,51.529986770365106,183000.6621090907,Camden,Archives,E09000007,09/05/2021
Camden,http://www.marywardcentre.ac.uk/,Mary Ward Centre,5045366,E09000007,42 Queen Square,,,Holborn and Covent Garden,E05000138,-0.1217842798525542,530183.5698863032,51.52086587050325,181995.85018438078,Camden,Archives,E09000007,09/05/2021
Camden,https://www.graysinn.org.uk/history/archives,Hon Soc of Gray's Inn: Archives,5045865,E09000007,8 South Square,,,Holborn and Covent Garden,E05000138,-0.11243721457924967,530836.4216641616,51.51927701117553,181835.88980888494,Camden,Archives,E09000007,09/05/2021
Camden,https://conwayhall.org.uk/library/,Humanist Library and Archives,5048256,E09000007,Conway Hall ,25 Red Lion Square,,Holborn and Covent Garden,E05000138,-0.11831129435993613,530427.5139842695,51.51979403551024,181882.87452839903,Camden,Archives,E09000007,09/05/2021
Camden,https://www.secularism.org.uk/,National Secular Society,5048256,E09000007,25 Red Lion Square,,,Holborn and Covent Garden,E05000138,-0.11831129435993613,530427.5139842695,51.51979403551024,181882.87452839903,Camden,Archives,E09000007,09/05/2021
Camden,https://www.paul-mellon-centre.ac.uk/,Paul Mellon Centre for Studies in British Art,5059068,E09000007,16 Bedford Square,,,Bloomsbury,E05000129,-0.13026989933683558,529598.698470779,51.51957157179161,181836.86971112178,Camden,Archives,E09000007,09/05/2021
Camden,https://www.rcoa.ac.uk/,Royal College of Anaesthetists,5059115,E09000007,35 Red Lion Square,,,Holborn and Covent Garden,E05000138,-0.11963768723882487,530336.5337981476,51.51943760717198,181840.88067070814,Camden,Archives,E09000007,09/05/2021
Camden,http://www.uclh.nhs.uk/Pages/Home.aspx,University College London Hospitals NHS Foundation Trust,5066067,E09000007,250 Euston Road,,,Regent's Park,E05000142,-0.13736951066726774,529088.8216139724,51.525736606098185,182509.73833826213,Camden,Archives,E09000007,09/05/2021
Camden,https://www.vwml.org/,English Folk Dance and Song Society: Vaughan Williams Memorial Library,5066674,E09000007,Cecil Sharp House ,2 Regents Park Road,,Camden Town with Primrose Hill,E05000130,-0.14933786642370842,528224.0333264099,51.53810211945751,183863.47739305237,Camden,Archives,E09000007,09/05/2021
Camden,https://burghhouse.museumssites.com/,Hampstead Museum,5067420,E09000007,Burgh House ,New End Square,,Hampstead Town,E05000135,-0.1750673410736099,526384.4452861315,51.558180898699696,186051.02251595288,Camden,Archives,E09000007,09/05/2021
Camden,http://www.hlsi.net/,Highgate Literary and Scientific Institution,5067464,E09000007,11 South Grove,,,Highgate,E05000137,-0.1483959502677454,528199.0321107933,51.57018178931404,187431.7605266355,Camden,Archives,E09000007,09/05/2021
Camden,https://www.historyofparliamentonline.org/,History of Parliament,5071361,E09000007,18 Bloomsbury Square,,,Bloomsbury,E05000129,-0.12402596868374811,530032.6013185977,51.51928304378976,181815.88040708442,Camden,Archives,E09000007,09/05/2021
Camden,https://www.camden.gov.uk/ccm/navigation/leisure/libraries-and-online-learning-centres/local-history/,Camden Local Studies and Archives Centre,5082117,E09000007,Holborn Library ,32-38 Theobalds Road,,Holborn and Covent Garden,E05000138,-0.11570264357827893,530604.4760774396,51.52118201320376,182041.84863764833,Camden,Archives,E09000007,09/05/2021
Camden,https://jewishmuseum.org.uk/,"Jewish Museum, London (fomerly Finchley)",5082327,E09000007,Raymond Burton House 129-131 Albert Street,,,Camden Town with Primrose Hill,E05000130,-0.14464146795043012,528551.9584637159,51.53728156055316,183780.49848815025,Camden,Archives,E09000007,09/05/2021
Camden,https://jewishmuseum.org.uk/,"Jewish Museum, London",5082327,E09000007,Raymond Burton House 129-131 Albert Street,,,Camden Town with Primrose Hill,E05000130,-0.14464146795043012,528551.9584637159,51.53728156055316,183780.49848815025,Camden,Archives,E09000007,09/05/2021
Camden,http://www.quaker.org.uk/resources/library,Religious Society of Friends Library,5085921,E09000007,Friends House ,173-177 Euston Road,,Bloomsbury,E05000129,-0.1325891423546377,529418.7493709112,51.52629909777947,182580.7308622019,Camden,Archives,E09000007,09/05/2021
